sample_ID,seq_ID
237.1,P4_P1G03
239.3,P3_P2C12
239.3,P4_P2G10
260.3,P3_P1H06
260.3,P4_P1D03
260.3,P4_P2B09
267.2,P4_P1A05
267.2,P4_P2C09
272.1,P4_P1E06
273.2,P3_P2A11
273.3,P4_P1H04
294.1,P3_P2B08
296.1,P4_P2H10
299.1,P4_P2C11
305.1,P4_P1C01
305.1,P4_P1F05
314.3,P3_P1G02
314.3,P4_P2H09
320.4,P4_P1D04
320.4,P4_P1G04
320.4,P4_P2B10
324.1,P4_P1E05
324.1,P4_P1F02
324.2,P3_P1G04
324.2,P4_P1C03
331.2,P4_P2E09
331.2,P4_P2E11
331.2,P4_P2F07
332.2,P3_P2B11
332.2,P4_P2F11
335.2,P3_P2F10
335.2,P3_P2H08
340.1,P3_P2A07
340.1,P4_P2D10
340.2,P3_P2F11
340.2,P3_P2H07
340.3,P4_P1A03
347.1,P4_P1F03
347.1,P4_P2E08
358.3,P3_P2C10
361.2,P3_P2C08
361.2,P4_P1G06
384.2,P3_P1H01
384.2,P4_P1B06
390.4,P3_P2C09
390.4,P4_P2H07
392.2,P4_P2C07
393.2,P3_P2A12
393.2,P4_P1B02
394.1,P4_P2E07
396.1,P4_P1F06
396.1,P4_P2D09
401.1,P4_P1C05
401.1,P4_P2A11
401.1,P4_P2G08
404.3,P3_P2D11
404.3,P4_P2F10
407.1,P4_P2C12
409.1,P4_P2D12
409.1,P4_P2G09
409.3,P4_P1A01
416.3,P4_P2D07
420.1,P3_P2F12
420.1,P3_P2G12
423.1,P3_P2E08
429.1,P3_P2A08
432.2,P3_P1H04
432.3,P3_P2H12
438.1,P4_P1C04
438.1,P4_P1H03
438.1,P4_P2A10
446.1,P3_P2F08
446.2,P3_P1G06
450.1,P3_P2B12
450.1,P4_P2C10
450.2,P3_P2D10
450.2,P4_P1H05
463.2,P4_P1H02
463.2,P4_P2E10
475.3,P3_P1H05
475.3,P4_P1D01
475.3,P4_P2B07
476.1,P4_P1B03
476.1,P4_P1G01
476.1,P4_P2A07
476.3,P4_P1D05
476.3,P4_P1H06
476.3,P4_P2B11
